timestamp(ms),Moisture,
"1717686858.622","500",
"1717686858.722","499",
"1717686858.822","499",
"1717686858.922","498",
"1717686859.022","500",
"1717686859.122","498",
"1717686859.223","500",
"1717686859.322","500",
"1717686859.422","500",
"1717686859.522","499",
"1717686859.622","501",
"1717686859.722","501",
"1717686859.823","501",
"1717686859.922","500",
"1717686860.022","498",
"1717686860.121","500",
"1717686860.222","500",
"1717686860.322","500",
"1717686860.422","500",
"1717686860.522","500",
"1717686860.622","500",
"1717686860.722","500",
"1717686860.822","504",
"1717686860.922","501",
"1717686861.022","500",
"1717686861.122","500",
"1717686861.222","499",
"1717686861.322","503",
"1717686861.422","501",
"1717686861.522","501",
"1717686861.623","501",
"1717686861.722","501",
"1717686861.822","500",
"1717686861.922","500",
"1717686862.022","501",
"1717686862.122","501",
"1717686862.222","498",
"1717686862.322","499",
"1717686862.422","500",
"1717686862.522","501",
"1717686862.622","500",
"1717686862.722","500",
"1717686862.823","503",
"1717686862.922","500",
"1717686863.022","501",
"1717686863.122","500",
"1717686863.222","501",
"1717686863.322","501",
"1717686863.422","497",
"1717686863.522","499",
"1717686863.622","501",
"1717686863.722","501",
"1717686863.822","504",
"1717686863.922","503",
"1717686864.022","499",
"1717686864.122","500",
"1717686864.222","500",
"1717686864.322","500",
"1717686864.422","500",
"1717686864.522","499",
"1717686864.622","501",
"1717686864.722","499",
"1717686864.822","501",
"1717686864.922","501",
"1717686865.023","499",
"1717686865.122","500",
"1717686865.222","500",
"1717686865.322","502",
"1717686865.422","501",
"1717686865.522","501",
"1717686865.622","501",
"1717686865.722","501",
"1717686865.822","500",
"1717686865.922","501",
"1717686866.022","501",
"1717686866.122","501",
"1717686866.222","500",
"1717686866.323","501",
"1717686866.422","501",
"1717686866.522","498",
"1717686866.622","500",
"1717686866.722","501",
"1717686866.822","500",
"1717686866.922","502",
"1717686867.022","500",
"1717686867.122","502",
"1717686867.222","502",
"1717686867.322","504",
"1717686867.422","502",
"1717686867.522","499",
"1717686867.623","502",
"1717686867.722","501",
"1717686867.822","502",
"1717686867.922","502",
"1717686868.022","501",
"1717686868.122","501",
"1717686868.223","500",
"1717686868.322","501",
"1717686868.423","502",
"1717686868.522","501",
"1717686868.622","501",
"1717686868.722","502",
"1717686868.822","501",
"1717686868.922","502",
"1717686869.023","501",
"1717686869.122","497",
"1717686869.222","501",
"1717686869.322","501",
"1717686869.422","502",
"1717686869.522","501",
"1717686869.623","502",
"1717686869.722","500",
"1717686869.822","498",
"1717686869.922","501",
"1717686870.022","501",
"1717686870.122","501",
"1717686870.222","502",
"1717686870.322","502",
"1717686870.422","504",
"1717686870.522","502",
"1717686870.622","501",
"1717686870.722","501",
"1717686870.822","497",
"1717686870.922","501",
"1717686871.022","502",
"1717686871.122","502",
"1717686871.222","502",
"1717686871.322","502",
"1717686871.423","502",
"1717686871.522","501",
"1717686871.622","502",
"1717686871.722","502",
"1717686871.822","501",
"1717686871.922","505",
"1717686872.022","502",
"1717686872.122","504",
"1717686872.222","500",
"1717686872.323","501",
"1717686872.422","502",
"1717686872.523","500",
"1717686872.622","502",
"1717686872.722","505",
"1717686872.822","502",
"1717686872.922","502",
"1717686873.022","502",
"1717686873.122","502",
"1717686873.222","503",
